,l,i,I,L,T,O,Z,Tower,Tripod
0,9983,2439,231,1762,845,1141,873,1769,597
1,10144,2435,211,1735,900,1114,919,1825,619
2,9964,2434,186,1770,848,1176,871,1791,611
3,10220,2477,186,1709,926,1151,918,1810,652
4,10078,2508,191,1773,922,1100,839,1764,586
5,10021,2491,213,1730,849,1142,905,1799,657
6,10007,2467,236,1689,901,1143,866,1711,600
7,10074,2470,222,1735,858,1170,867,1840,597
8,10105,2483,196,1722,858,1134,933,1759,648
9,9987,2450,207,1719,876,1155,829,1713,640
