,1,2,3,4,5,6,7,8
Mean,0.5706616425466986,0.17346081366501945,0.08022375546298688,0.046402609620183846,0.029927831102614044,0.020620223406962075,0.015002820629523928,0.06370030356601113
SD,0.00100864871603218,0.0006024411993812822,0.0004058559095270873,0.00029183928803601833,0.00023919007720016403,0.0002877104859882297,0.00027750771521062025,0.0010596448150640338
