 [46068, )
 [46034,47109)
 [46014,56697)
 [46014,73326)
 [45986,55417)
 [45975,94119)
 [45970, )
 [45943, )
 [45933,47613)
 [45856,70268)
 [45768,68617)
 [45686,48626)
 [45683,54936)
 [45643,55229)
 [45633,66529)
 [45613,59043)
 [45499,50859)
 [45461,47727)
 [45461,48750)
 [45445,67425)
 [45420,45826)
 [45419,50874)
 [45388,48839)
 [45356, )
 [45333,50776)
 [45285,57531)
 [45240, )
 [45222,81944)
 [45162,52104)
 [45155,63252)
 [45134,54406)
 [45119, )
 [45118,68335)
 [45100,77337)
 [45100, )
 [45088,58803)
 [45065, )
 [45045,57733)
 [45037, )
 [45023,45438)
 [44947,53601)
 [44915,54558)
 [44884,48603)
 [44868,80448)
 [44861,44864)
 [44858, )
 [44823, )
 [44816,46889)
 [44816,46057)
 [44747,56226)
 [44720,70201)
 [44676,74973)
 [44649,51248)
 [44646,57544)
 [44643,58286)
 [44639,64152)
 [44593,64902)
 [44565,48527)
 [44554,67706)
 [44543,48467)
 [44540, )
 [44526, )
 [44456,54441)
 [44452, )
 [44440,70187)
 [44413,45814)
 [44382,50870)
 [44373, )
 [44370,50413)
 [44357, )
 [44327,47626)
 [44323,75017)
 [44322,45620)
 [44313,66301)
 [44304,45709)
 [44298,50010)
 [44286,44338)
 [44226,54426)
 [44206,72895)
 [44195,52009)
 [44168,51280)
 [44113, )
 [44102, )
 [44082,71879)
 [44056,67962)
 [44033,52376)
 [44000,67627)
 [43986, )
 [43952,55170)
 [43952,83219)
 [43941,58626)
 [43931,45313)
 [43919,52220)
 [43917,44148)
 [43913,47911)
 [43906,44724)
 [43906,52266)
 [43905,52370)
 [43901,52994)
 [43887,71610)
 [43875,45159)
 [43860,96175)
 [43844,69869)
 [43841,59632)
 [43833,51810)
 [43833,53750)
 [43831,57191)
 [43826,45340)
 [43823,90121)
 [43815,45325)
 [43811,47234)
 [43787,60411)
 [43775, )
 [43763,43780)
 [43743,52484)
 [43723,55534)
 [43712,99315)
 [43708,91018)
 [43696,47444)
 [43656,61234)
 [43655,54782)
 [43628,86197)
 [43628,71888)
 [43580,60764)
 [43571, )
 [43569,52068)
 [43561,74267)
 [43538,50301)
 [43535,53856)
 [43514,92179)
 [43495, )
 [43470,48484)
 [43435,43966)
 [43405,59739)
 [43375, )
 [43367,51298)
 [43296,52328)
 [43277,49634)
 [43237,75432)
 [43158,56468)
 [43158, )
 [43132,69497)
 [43107,48782)
 [43100,83510)
 [43061,43622)
 [43050,67010)
 [43046,70095)
 [43019,58669)
 [42978,62401)
 [42910,51103)
 [42901,44556)
 [42885,65806)
 [42862,45454)
 [42847,52935)
 [42822,43528)
 [42778,47886)
 [42777,75430)
 [42766,92708)
 [42748,78872)
 [42743,75626)
 [42740, )
 [42736, )
 [42698,84043)
 [42666,90370)
 [42665,87543)
 [42625,78812)
 [42619,47177)
 [42592,95967)
 [42571,43276)
 [42571,49730)
 [42551,49827)
 [42541,47539)
 [42537,97218)
 [42531,50221)
 [42516,46104)
 [42513, )
 [42498, )
 [42489,59605)
 [42463,65532)
 [42458,58657)
 [42427,49177)
 [42421,65080)
 [42413, )
 [42402,77051)
 [42362,54830)
 [42349,57021)
 [42342,51226)
 [42308,44237)
 [42284,56322)
 [42278,48341)
 [42263,67693)
 [42244,64797)
 [42240,55275)
 [42239,55494)
 [42214,44917)
 [42199,73004)
 [42184,42465)
 [42183, )
 [42158, )
 [42126,47191)
 [42111,67025)
 [42111,74031)
 [42073,49986)
 [42066,67453)
 [42064,53775)
 [42059,59190)
 [42037,43115)
 [42030,53699)
 [42028,88629)
 [42014,83964)
 [42003,46060)
 [41981,68840)
 [41965,43954)
 [41960,82487)
 [41957,55928)
 [41956,69900)
 [41925,75763)
 [41920,43401)
 [41906,45120)
 [41895,60052)
 [41891,44285)
 [41878,49684)
 [41870,84582)
 [41857,57861)
 [41844,53121)
 [41821,62069)
 [41801,93584)
 [41782, )
 [41780,61873)
 [41754,85185)
 [41748,75441)
 [41738,63951)
 [41730,43323)
 [41686,42603)
 [41678,51825)
 [41672,43654)
 [41671,55414)
 [41627,43704)
 [41626, )
 [41610,48319)
 [41607, )
 [41588,82574)
 [41583,46749)
 [41561,79629)
 [41559,61675)
 [41542,50056)
 [41522,62991)
 [41512,48818)
 [41494,44889)
 [41469,72047)
 [41435,49658)
 [41433,48711)
 [41404,64449)
 [41377,46090)
 [41354, )
 [41328,43214)
 [41310, )
 [41263,42135)
 [41253, )
 [41239,54985)
 [41229,71613)
 [41216,48229)
 [41211,44320)
 [41206, )
 [41200,52207)
 [41186,49597)
 [41185,64480)
 [41176,72593)
 [41173,76108)
 [41153, )
 [41128,45040)
 [41091, )
 [41088, )
 [41082, )
 [41071,59952)
 [41069, )
 [41056, )
 [41043,47891)
 [41042,43344)
 [41018,88868)
 [41007,88340)
 [41005,68832)
 [41005,77084)
 [40993,60454)
 [40986,49006)
 [40986,61838)
 [40978,71219)
 [40974, )
 [40969,48297)
 [40961,41902)
 [40958,45184)
 [40949,89081)
 [40947,50425)
 [40933,44295)
 [40873,41288)
 [40870,41332)
 [40856,58500)
 [40822,72071)
 [40813, )
 [40805,51798)
 [40805,46105)
 [40801, )
 [40789,48909)
 [40764,80630)
 [40721,58638)
 [40720,44042)
 [40717, )
 [40680, )
 [40665,88293)
 [40660,57519)
 [40629, )
 [40625,67449)
 [40612,43544)
 [40604,65109)
 [40603,42446)
 [40600,43961)
 [40600,52264)
 [40598,48983)
 [40597,43053)
 [40586,51698)
